"country","forest"
"GERMANY",0.14
"POLAND",0.25
"CZECH REPUBLIC",0.25
"SLOVAKIA",0.36
"UKRAINE",0.22
"BELARUS",0.99
"LITHUANIA",0.81
"RUSSIA",6.05
