"Kod";"Nazwa";"czytelnicy w ciągu roku;2024;[osoba]";
0000000;"POLSKA";5366566;
0200000;"DOLNOŚLĄSKIE";375673;
0400000;"KUJAWSKO-POMORSKIE";215421;
0600000;"LUBELSKIE";293835;
0800000;"LUBUSKIE";110110;
1000000;"ŁÓDZKIE";360578;
1200000;"MAŁOPOLSKIE";648619;
1400000;"MAZOWIECKIE";908845;
1600000;"OPOLSKIE";130326;
1800000;"PODKARPACKIE";287237;
2000000;"PODLASKIE";134791;
2200000;"POMORSKIE";346344;
2400000;"ŚLĄSKIE";642404;
2600000;"ŚWIĘTOKRZYSKIE";123761;
2800000;"WARMIŃSKO-MAZURSKIE";153021;
3000000;"WIELKOPOLSKIE";455942;
3200000;"ZACHODNIOPOMORSKIE";179659;
