"Kod";"Nazwa";"czytelnicy w ciągu roku;2024;[osoba]";
0000000;"POLSKA";5366566;
0201000;"Powiat bolesławiecki";10087;
0202000;"Powiat dzierżoniowski";10366;
0203000;"Powiat głogowski";5538;
0204000;"Powiat górowski";3560;
0205000;"Powiat jaworski";5118;
0206000;"Powiat karkonoski";4960;
0207000;"Powiat kamiennogórski";4218;
0208000;"Powiat kłodzki";18980;
0209000;"Powiat legnicki";4954;
0210000;"Powiat lubański";4961;
0211000;"Powiat lubiński";8604;
0212000;"Powiat lwówecki";4199;
0213000;"Powiat milicki";3781;
0214000;"Powiat oleśnicki";12381;
0215000;"Powiat oławski";9516;
0216000;"Powiat polkowicki";5562;
0217000;"Powiat strzeliński";4999;
0218000;"Powiat średzki";6339;
0219000;"Powiat świdnicki";18154;
0220000;"Powiat trzebnicki";7957;
0221000;"Powiat wałbrzyski";6383;
0222000;"Powiat wołowski";4792;
0223000;"Powiat wrocławski";25618;
0224000;"Powiat ząbkowicki";5055;
0225000;"Powiat zgorzelecki";9539;
0226000;"Powiat złotoryjski";4721;
0261000;"Powiat m. Jelenia Góra";8898;
0262000;"Powiat m. Legnica";9601;
0264000;"Powiat m. Wrocław";139439;
0265000;"Powiat m. Wałbrzych od 2013";7393;
0401000;"Powiat aleksandrowski";5605;
0402000;"Powiat brodnicki";8872;
0403000;"Powiat bydgoski";11345;
0404000;"Powiat chełmiński";5854;
0405000;"Powiat golubsko-dobrzyński";3456;
0406000;"Powiat grudziądzki";3949;
0407000;"Powiat inowrocławski";14868;
0408000;"Powiat lipnowski";6195;
0409000;"Powiat mogileński";5472;
0410000;"Powiat nakielski";7048;
0411000;"Powiat radziejowski";4946;
0412000;"Powiat rypiński";4975;
0413000;"Powiat sępoleński";3736;
0414000;"Powiat świecki";11491;
0415000;"Powiat toruński";10487;
0416000;"Powiat tucholski";4969;
0417000;"Powiat wąbrzeski";3814;
0418000;"Powiat włocławski";9884;
0419000;"Powiat żniński";10412;
0461000;"Powiat m. Bydgoszcz";30119;
0462000;"Powiat m. Grudziądz";9860;
0463000;"Powiat m. Toruń";23960;
0464000;"Powiat m. Włocławek";14104;
0601000;"Powiat bialski";10814;
0602000;"Powiat biłgorajski";11141;
0603000;"Powiat chełmski";5969;
0604000;"Powiat hrubieszowski";6285;
0605000;"Powiat janowski";6180;
0606000;"Powiat krasnostawski";8567;
0607000;"Powiat kraśnicki";9986;
0608000;"Powiat lubartowski";14482;
0609000;"Powiat lubelski";22217;
0610000;"Powiat łęczyński";12035;
0611000;"Powiat łukowski";12680;
0612000;"Powiat opolski";5496;
0613000;"Powiat parczewski";3000;
0614000;"Powiat puławski";21222;
0615000;"Powiat radzyński";8665;
0616000;"Powiat rycki";5640;
0617000;"Powiat świdnicki";13654;
0618000;"Powiat tomaszowski";13003;
0619000;"Powiat włodawski";4312;
0620000;"Powiat zamojski";11211;
0661000;"Powiat m. Biała Podlaska";9020;
0662000;"Powiat m. Chełm";6971;
0663000;"Powiat m. Lublin";61239;
0664000;"Powiat m. Zamość";10046;
0801000;"Powiat gorzowski";6403;
